AT,V,AP,RH
6.86,38.08,1019.62,77.37
6.65,40.69,1020.11,89.84
16.85,41.35,1006.14,79.21
6.69,43.65,1020.14,69.55
29.42,74.9,1004.11,64.53
23.64,58.49,1011.4,74.2
15.21,35.4,1016.31,58.26
19.65,44.89,1009.76,75.36
23.2,49.3,1003.4,79.77
31.54,67.32,1013.79,36.99
13.65,44.6,1017.99,87.04
24.85,70.09,1006.56,70.09
18.06,65.48,1018.79,77.95
8.99,39.04,1021.99,75.98
22.92,63.94,1019.28,42.69
19.66,51.43,1010.17,84.19
24.48,69.13,1002.88,69.43
12.87,39.3,1019.26,71.55
15.79,50.88,1014.58,99.9
13.8,39.82,1012.37,83.69
17.68,45.17,1017.5,77.57
14.8,44.21,1021.59,89.24
7.55,38.08,1019.37,76.32
11.18,39.61,1018.56,68.0
23.85,52.3,1005.9,70.95
27.86,63.07,1011.11,56.81
26.63,64.44,1012.66,61.19
21.83,63.07,1011.57,87.02
25.09,58.95,1016.99,53.16
31.35,68.67,1005.26,66.85
15.04,41.35,1004.29,99.1
10.02,38.18,1017.43,68.4
33.13,74.34,999.57,48.34
28.25,57.19,1007.99,67.9
24.04,72.43,1008.02,87.2
7.73,39.04,1018.61,68.23
3.98,35.47,1017.22,86.53
25.24,68.28,1000.26,78.17
12.27,39.82,1012.18,85.58
16.9,38.58,1014.09,70.11
26.8,72.58,1009.22,89.03
8.05,40.8,1028.01,89.56
11.52,40.03,1017.56,87.87
28.21,70.02,1010.58,51.34
14.78,41.17,1016.42,67.42
17.68,53.16,1013.09,82.79
10.72,41.17,1019.68,60.71
6.17,39.33,1012.57,93.32
21.71,58.05,1013.07,85.75
26.82,64.96,999.72,63.55
7.14,39.4,1011.68,91.84
23.05,48.98,1015.64,49.33
6.71,40.96,1022.71,91.89
23.04,74.22,1009.52,90.93
13.63,43.22,1012.71,72.85
20.5,51.19,1009.0,91.79
7.95,41.26,1008.48,97.92
6.54,39.33,1011.54,93.69
26.78,52.3,1008.52,61.23
21.11,58.66,1011.7,68.71
8.83,41.14,1025.37,94.36
14.43,35.85,1021.99,78.25
5.67,45.87,1008.91,93.29
14.62,43.99,1023.6,86.7
26.53,54.2,1012.9,66.73
18.41,44.89,1009.75,77.24
12.79,41.62,1010.52,81.83
18.4,50.16,1011.51,98.07
17.28,65.94,1013.62,89.97
21.31,58.66,1012.67,69.36
25.79,70.4,1007.11,86.03
11.64,41.39,1017.36,83.4
22.98,51.95,1006.83,74.92
24.98,60.32,1016.39,63.12
33.3,80.18,1011.09,63.98
28.86,67.9,1006.29,57.19
25.7,69.45,1013.86,56.91
27.2,65.12,1016.2,44.95
26.86,72.58,1009.22,88.39
15.34,41.23,996.87,86.56
29.64,67.79,1009.99,51.23
12.56,43.41,1016.93,81.02
32.32,67.9,1006.08,37.93
14.35,49.83,1006.39,91.23
13.15,40.78,1024.13,79.59
22.43,63.21,1012.06,84.75
14.48,40.89,1011.39,82.18
24.54,60.23,1011.55,72.78
15.56,40.12,1013.72,89.78
32.09,79.74,1006.92,61.5
20.88,56.85,1010.91,84.28
22.73,66.75,1018.13,84.06
11.93,41.38,1021.76,57.63
24.97,50.23,1015.6,56.79
23.23,71.77,1005.01,88.1
16.06,47.45,1009.97,88.09
13.02,45.51,1015.24,80.05
26.57,73.21,1002.31,92.51
26.17,48.92,1009.87,34.43
26.43,51.43,1006.3,71.48
24.99,58.79,1016.37,67.16
7.64,39.85,1012.78,88.09
28.11,70.98,1007.76,85.6
27.19,71.32,1008.97,88.43
18.92,46.93,1009.89,77.98
28.76,51.43,1011.88,49.79
29.41,64.05,1009.82,67.4
21.9,47.43,1006.8,60.48
29.55,67.69,1004.88,48.68
11.7,41.16,1019.58,87.49
31.74,72.58,1007.26,59.58
28.37,75.6,1017.48,55.19
11.48,41.2,1012.88,90.04
12.38,40.6,1013.86,85.35
8.94,41.38,1021.5,79.45
15.77,39.82,1013.01,79.1
6.33,39.33,1012.06,93.16
25.9,71.73,1010.18,74.83
34.03,73.56,1006.49,51.07
10.63,44.2,1018.63,90.26
29.83,62.66,1007.98,47.07
24.75,69.89,1015.29,82.01
14.54,41.17,1015.15,67.78
14.75,41.16,1009.58,86.96
14.49,42.86,1013.94,88.2
10.71,41.93,1018.23,90.88
26.14,61.02,1010.13,66.71
25.99,74.67,1016.59,83.39
12.32,41.62,1012.88,88.88
21.5,50.59,1017.08,65.28
25.65,49.3,1003.73,68.48
10.18,40.81,1015.79,81.42
24.65,72.43,1007.99,90.05
29.38,69.68,1011.35,49.25
18.43,57.76,1016.13,87.34
10.58,42.34,1022.32,94.01
20.57,44.78,1008.89,38.78
31.48,69.75,1008.9,45.66
25.93,60.29,1017.62,50.03
21.46,46.63,1012.97,71.29
20.0,39.53,1007.59,62.09
29.53,70.79,1003.7,60.89
13.46,39.85,1012.76,72.94
28.42,73.5,1011.23,72.79
18.17,52.08,1001.91,100.09
9.53,40.23,1017.74,89.05
7.66,41.92,1031.96,82.48
24.47,48.6,1002.49,75.04
15.95,49.25,1019.04,88.51
20.01,43.77,1012.13,65.53
27.19,62.91,1011.57,53.66
27.09,49.3,1003.93,61.0
24.38,47.01,1015.17,68.96
10.15,41.46,1019.78,83.56
33.2,73.88,1005.67,48.48
31.82,73.68,1014.8,40.58
7.77,41.82,1032.72,72.8
14.72,40.83,1009.65,80.98
10.5,52.72,1026.32,85.04
32.06,75.33,1001.96,63.15
14.08,41.93,1023.02,59.41
19.2,61.27,1020.02,65.53
25.27,67.07,1006.34,66.35
34.18,67.9,1005.87,30.34
18.77,39.54,1009.39,63.35
17.73,40.55,1003.36,74.62
19.83,46.33,1013.27,96.4
9.99,42.07,1018.78,85.68
29.78,65.74,1012.13,44.96
12.27,41.17,1019.39,52.18
5.84,43.02,1013.88,87.42
7.19,40.81,1015.22,85.65
16.72,44.78,1007.75,56.79
30.44,56.24,1005.19,56.24
6.99,35.19,1019.32,68.95
15.25,39.58,1012.1,73.05
11.7,43.41,1016.08,62.27
26.85,66.86,1006.78,69.4
31.88,70.36,1006.2,57.51
30.08,68.14,1003.99,77.38
24.73,69.94,1006.09,59.15
8.66,40.11,1032.86,75.31
21.31,49.39,1020.18,71.35
30.16,73.17,1010.74,58.99
15.3,43.14,1015.11,71.35
23.93,64.45,1015.35,54.71
21.81,43.77,1011.97,64.72
11.61,52.75,1020.94,77.56
30.25,68.24,1006.58,31.9
8.68,41.82,1032.83,73.62
27.24,77.17,1009.37,81.51
29.04,70.72,1009.55,66.58
14.12,41.39,1018.73,76.51
27.33,66.17,1011.06,64.55
25.92,73.77,1001.27,94.28
26.65,74.16,1008.27,94.54
21.24,60.84,1017.99,82.22
28.37,72.86,1004.81,53.52
8.75,40.77,1021.99,86.46
24.81,63.73,1009.34,83.61
17.01,44.2,1019.18,61.23
28.12,44.89,1009.18,47.14
18.1,45.0,1023.05,48.41
19.81,43.56,1013.39,38.13
27.15,73.9,1007.57,74.42
21.86,63.09,1016.64,87.94
22.43,63.94,1012.76,93.24
15.91,38.62,1016.2,63.63
19.08,44.63,1020.05,41.07
4.41,42.07,1005.54,68.85
8.39,36.24,1013.39,89.13
25.89,63.56,1013.82,64.51
22.26,44.89,1009.51,78.93
27.85,66.44,1008.48,77.15
31.2,73.17,1010.28,53.23
30.47,70.83,1010.91,46.94
8.51,41.26,1023.17,87.79
13.95,41.49,1019.95,86.46
28.69,67.79,1011.01,66.4
18.42,63.94,1020.47,74.47
7.81,40.71,1023.32,82.08
27.01,69.75,1009.78,81.29
10.44,37.83,1006.31,97.2
21.97,58.79,1010.93,86.7
12.6,40.35,1011.89,80.88
9.38,40.46,1019.29,75.77
28.18,66.56,1005.69,65.67
22.2,63.94,1017.38,56.17
31.44,64.44,1014.04,49.15
26.16,70.04,1009.63,73.22
13.97,40.24,1018.32,88.72
25.79,67.17,1007.89,81.38
14.14,39.82,1012.46,81.15
26.1,66.25,1009.25,84.52
19.46,42.04,1011.3,60.45
5.74,37.8,1021.37,74.47
12.45,40.81,1025.63,66.26
13.35,41.44,1015.9,66.04
26.31,44.57,1007.51,52.6
25.28,72.39,1002.28,89.43
25.43,69.13,1002.2,86.44
26.17,66.54,1002.23,75.6
23.68,49.02,1007.53,86.05
25.32,61.25,1011.56,80.1
16.92,44.6,1017.34,58.75
23.16,57.69,1007.91,84.7
9.84,36.66,1026.7,70.02
14.08,43.41,1015.59,54.15
21.63,50.16,1005.7,84.84
24.24,71.58,1010.15,91.14
24.62,68.31,1010.45,75.18
26.05,44.89,1009.83,56.36
16.38,45.64,1020.47,89.28
15.54,39.31,1009.69,71.19
27.97,58.84,1002.25,57.88
31.68,70.79,1004.05,54.5
12.19,40.75,1015.13,88.98
17.07,41.35,1005.88,83.43
23.74,62.96,1019.65,63.39
7.51,41.66,1015.9,78.31
30.31,70.36,1006.55,59.92
27.06,77.17,1008.71,90.6
15.6,43.71,1024.88,80.37
28.07,74.33,1012.0,71.69
29.43,66.75,1017.63,42.72
26.96,62.39,1008.14,73.95
20.74,58.2,1017.54,70.66
21.25,66.86,1012.99,60.65
18.6,56.85,1012.34,80.24
29.49,70.98,1007.83,79.08
30.97,67.69,1005.61,50.88
29.05,75.6,1017.63,51.16
18.77,52.08,1004.02,99.86
28.68,73.77,1004.72,87.01
21.73,64.63,1020.84,68.9
23.81,57.5,1015.53,70.66
24.75,58.79,1009.87,71.97
29.89,65.74,1012.95,51.36
17.48,43.14,1018.68,74.85
27.31,59.54,1006.24,71.99
8.52,38.5,1013.16,64.06
21.67,57.76,1018.32,68.21
17.68,39.08,1002.77,74.24
23.4,49.16,1002.85,69.82
14.6,42.32,1015.71,77.03
27.75,77.24,1007.48,78.37
23.37,65.46,1016.25,48.64
13.86,40.83,1008.76,82.4
25.42,69.71,1009.29,82.5
20.17,58.12,1015.41,79.47
31.66,73.91,1004.49,68.13
15.8,41.1,1003.0,77.36
7.68,42.85,1012.51,91.51
11.6,39.1,1009.81,100.09
11.29,41.5,1013.39,89.15
9.19,41.01,1022.14,98.98
24.03,62.44,1010.96,79.88
22.86,60.08,1017.2,67.11
17.3,46.21,1013.56,87.57
26.56,65.59,1012.6,64.25
12.29,40.71,1019.71,83.09
22.78,71.77,1005.26,89.23
29.2,64.84,1009.94,55.37
20.61,48.78,1020.8,85.05
28.01,65.34,1014.68,46.86
28.98,70.8,1008.19,73.45
23.71,60.23,1009.76,90.67
12.88,40.64,1020.76,92.58
5.54,45.87,1008.69,95.91
14.49,44.84,1024.09,86.55
13.19,39.18,1023.67,66.78
19.9,56.53,1020.52,78.05
24.43,61.25,1011.66,85.24
8.91,43.52,1022.78,98.0
23.43,54.42,1013.58,70.99
19.69,56.65,1020.72,70.86
14.22,42.32,1015.54,77.23
12.35,40.8,1027.35,72.69
21.36,52.3,1007.95,79.38
22.78,58.96,1013.65,57.06
8.39,52.72,1026.06,86.76
28.13,61.25,1013.12,62.57
27.39,69.14,1008.82,78.35
31.75,74.99,1003.25,53.33
24.49,68.61,1010.56,64.03
8.47,41.26,1020.57,91.28
28.15,72.24,1010.88,62.39
14.79,41.04,1025.32,75.81
15.2,40.55,1005.0,88.4
25.12,66.56,1009.22,65.62
20.38,62.52,1017.85,75.56
21.02,61.5,1008.52,77.74
11.25,40.67,1011.64,63.54
21.75,49.82,1015.01,78.33
23.61,49.16,1002.39,65.63
25.13,68.63,1013.57,43.44
32.29,64.96,1002.13,42.61
23.48,60.23,1011.91,79.48
16.63,39.16,1005.85,72.02
32.38,77.24,1007.7,61.15
8.85,40.43,1025.68,80.42
21.29,59.04,1012.49,84.23
28.5,74.87,1009.67,53.78
9.37,42.32,1015.15,82.96
21.42,56.89,1014.39,84.05
28.62,79.74,1008.12,65.39
33.6,77.17,1009.01,47.53
15.85,42.28,1007.4,82.12
18.27,50.16,1011.07,95.91
14.96,43.02,1012.77,42.93
21.96,71.85,1009.38,75.98
25.95,63.47,1011.77,66.22
23.5,59.21,1018.29,63.0
30.38,71.58,1010.17,50.45
28.01,64.69,1007.61,58.45
12.3,40.69,1015.74,82.58
21.42,43.79,1015.76,43.08
21.34,59.8,1016.92,77.06
15.84,41.66,1009.69,62.81
16.73,54.3,1017.96,59.44
23.25,71.29,1008.05,71.36
26.52,73.21,1002.3,95.38
27.43,63.87,1017.6,43.33
16.41,44.92,1024.27,84.16
29.67,73.67,1006.48,64.98
23.19,45.61,1013.18,73.46
28.34,73.68,1015.05,76.73
12.48,40.67,1011.24,61.1
29.97,67.9,1006.09,61.6
22.8,49.16,1006.4,77.05
24.42,66.56,1002.04,84.7
23.89,48.41,1010.48,62.31
26.31,66.48,1005.93,63.9
25.69,64.45,1013.05,42.0
10.13,39.18,1024.09,85.48
17.83,66.86,1011.65,77.31
12.64,41.26,1020.79,83.66
11.86,40.27,1008.06,72.91
6.05,41.14,1027.69,86.93
28.54,76.86,1000.09,74.67
19.89,68.08,1012.65,80.25
10.05,40.23,1019.71,90.41
21.47,57.19,1006.45,75.8
11.15,40.64,1020.65,97.95
18.3,37.2,1012.23,68.09
28.76,69.48,1008.62,55.86
25.44,75.23,1010.71,66.44
19.61,56.53,1019.69,77.13
17.46,42.42,1008.97,69.19
6.07,41.14,1027.57,86.98
28.75,64.84,1009.61,58.24
11.33,41.5,1013.58,88.7
28.19,62.6,1017.34,46.95
7.93,41.01,1023.64,97.23
20.24,56.65,1020.72,62.9
23.09,51.19,1009.4,81.61
8.99,36.66,1028.11,71.98
14.11,45.08,1023.27,83.22
26.52,65.06,1013.4,51.78
19.35,64.15,1021.37,68.53
28.55,72.43,1007.2,65.82
30.2,69.59,1008.9,67.32
17.29,44.63,1019.6,41.98
7.38,41.22,1016.47,96.29
25.53,71.85,1009.19,74.7
10.27,40.64,1020.63,84.6
20.12,56.53,1020.34,75.59
22.28,60.27,1018.98,84.12
21.29,51.43,1011.31,90.12
26.87,69.23,1012.71,54.54
13.99,36.71,1013.43,83.13
15.89,38.73,1001.45,74.37
10.45,40.71,1015.68,81.48
26.26,74.9,1003.85,81.94
9.05,40.67,1015.57,75.48
25.66,71.77,1006.76,84.76
31.91,67.83,1008.76,53.22
7.14,41.22,1016.6,97.09
25.07,77.95,1012.87,83.0
25.74,65.38,1009.6,54.34
14.94,40.0,1017.69,65.43
19.32,52.84,1004.29,83.51
26.42,59.27,1012.9,65.38
23.25,63.86,1017.82,59.64
13.77,42.86,1030.72,77.3
14.24,44.84,1023.6,94.06
14.74,44.47,1028.29,67.87
14.35,35.71,1016.1,60.86
9.31,43.56,1015.09,79.96
11.82,41.54,1019.96,67.65
6.18,41.55,1001.58,98.79
20.16,60.1,1011.24,86.23
10.52,41.78,1013.54,71.52
16.46,61.27,1020.02,74.54
20.47,63.07,1012.79,88.67
27.12,70.32,1009.94,52.67
13.41,45.0,1022.31,76.29
8.6,42.28,1008.58,80.15
30.74,71.77,1006.24,53.38
26.5,66.05,1017.03,61.34
26.67,70.94,1007.7,56.56
22.74,61.02,1009.56,79.41
18.85,48.06,1012.52,67.88
19.87,49.69,1012.23,68.57
21.19,50.16,1005.81,84.27
13.44,39.64,1013.23,73.43
14.2,40.92,1022.26,71.71
22.59,60.32,1016.84,78.58
26.53,65.18,1012.77,64.37
24.8,64.63,1020.69,55.74
26.21,70.32,1007.0,78.29
14.58,41.92,1030.42,61.96
14.37,40.56,1021.67,68.18
6.03,40.78,1025.53,98.68
11.99,49.83,1008.33,95.2
21.28,70.32,1011.55,88.05
20.54,59.39,1014.07,84.15
13.65,41.58,1020.56,72.17
23.82,48.92,1010.48,44.45
15.15,37.64,1014.37,89.82
7.89,39.37,1016.28,84.66
26.54,69.34,1009.5,87.18
22.56,70.98,1005.66,95.95
23.02,63.47,1012.21,80.61
14.05,40.71,1016.36,68.58
25.06,74.33,1014.05,69.02
25.44,61.25,1012.57,87.65
12.82,46.18,1018.53,88.46
6.31,42.07,1004.61,77.74
22.64,72.24,1011.07,98.55
10.17,41.46,1019.34,83.04
31.33,76.86,997.85,64.43
18.74,44.34,1019.4,55.16
26.71,59.39,1014.24,66.45
9.99,41.82,1033.14,68.36
22.08,45.61,1014.02,75.71
32.37,67.83,1008.32,57.39
15.22,50.88,1014.19,100.12
23.39,73.5,1011.37,88.48
18.24,58.46,1017.38,86.92
23.66,62.08,1022.42,64.13
18.63,45.87,1007.98,79.9
15.09,39.52,1017.05,72.43
26.39,66.49,1012.96,60.35
18.56,42.28,1007.75,60.89
23.35,59.92,1009.86,88.6
32.98,73.88,1006.31,47.55
20.86,67.25,1017.45,81.45
25.68,58.41,1013.71,70.61
28.85,66.54,1010.73,43.27
15.24,37.87,1020.52,84.49
18.39,52.08,1006.53,100.09
10.1,44.03,1008.11,90.29
30.24,73.9,1006.74,56.39
22.12,49.39,1019.8,72.83
17.14,58.16,1018.59,77.22
8.36,40.22,1011.6,89.18
32.82,68.31,1010.44,41.85
34.61,73.03,1013.61,36.91
6.93,38.68,1017.61,61.28
27.41,63.07,1011.5,55.3
9.83,41.17,1019.34,72.29
29.92,67.22,1014.09,50.62
16.88,43.67,1011.43,73.98
13.72,34.03,1018.57,65.95
10.62,39.96,1025.37,96.64
30.63,74.22,1007.47,46.52
29.98,47.93,1002.46,42.73
13.86,41.78,1010.75,57.9
11.23,43.7,1016.0,91.75
26.11,47.43,1009.01,56.09
19.39,68.61,1011.09,96.51
22.56,62.26,1012.11,63.16
19.27,43.14,1013.17,39.85
18.86,51.43,1010.27,86.0
33.43,69.88,1006.86,44.84
13.84,41.26,1020.92,74.74
11.12,41.54,1020.13,75.07
22.42,60.08,1017.71,67.46
10.12,41.55,1005.78,62.34
23.46,73.18,1012.07,88.14
25.72,49.82,1016.19,60.1
29.59,71.77,1006.33,62.35
7.28,38.56,1018.96,67.98
7.0,38.08,1020.27,77.67
15.29,38.73,1000.9,81.17
19.3,56.65,1020.55,70.43
17.74,50.88,1015.56,89.78
20.01,68.63,1012.34,69.49
14.38,40.66,1016.34,92.37
28.79,68.51,1013.02,62.84
9.2,40.77,1011.88,89.86
22.05,59.92,1009.06,93.74
12.88,44.34,1016.03,88.51
22.49,58.82,1009.73,85.19
16.84,56.03,1020.25,70.37
20.57,60.1,1011.16,83.45
13.1,49.83,1007.29,92.79
24.34,70.79,1006.82,85.66
18.84,67.32,1012.63,81.89
31.13,64.05,1011.51,61.27
10.87,37.5,1011.43,95.56
16.13,39.99,1007.04,80.49
14.56,40.89,1010.94,79.57
17.4,44.9,1020.5,77.11
16.74,41.16,1006.87,74.24
10.63,37.5,1008.93,98.14
21.87,66.86,1013.01,57.39
12.36,41.74,1020.58,69.24
11.54,45.0,1022.77,80.79
25.16,43.21,1011.73,88.69
27.43,56.85,1011.86,36.76
6.61,38.91,1015.77,92.31
26.2,63.56,1013.39,67.07
27.5,68.24,1010.38,73.44
17.46,39.99,1008.52,69.73
12.14,40.27,1007.57,73.22
15.86,49.69,1015.59,87.26
9.98,41.62,1013.56,95.77
25.42,73.21,1001.91,93.78
11.11,40.55,1023.91,87.12
26.09,60.23,1010.74,60.88
29.33,64.84,1010.76,53.32
13.85,41.39,1018.62,75.55
30.66,66.25,1007.67,63.03
21.7,70.32,1009.12,91.3
23.49,49.3,1003.35,77.96
15.0,41.17,1015.57,64.82
22.29,45.01,1012.4,51.58
27.84,72.39,1001.18,83.46
21.65,56.89,1013.13,66.07
20.08,49.69,1008.34,69.88
27.19,71.58,1010.85,76.1
29.47,65.51,1014.71,58.28
26.02,71.94,1009.38,64.12
26.19,73.77,1001.31,91.87
18.39,38.52,1019.66,66.93
22.55,69.84,1006.57,76.29
27.96,73.42,1011.11,71.93
5.96,36.25,1029.4,88.63
23.03,54.42,1014.42,74.98
29.38,74.9,1003.25,72.19
22.57,68.3,1017.43,87.69
28.33,78.92,1011.15,70.04
10.58,41.49,1020.43,91.9
23.85,74.22,1009.99,82.72
25.0,59.43,1007.84,68.91
26.92,51.43,1012.29,59.33
9.6,41.03,1021.01,69.03
23.92,73.17,1011.81,92.33
8.34,40.72,1023.62,83.75
19.44,60.07,1014.8,69.06
13.42,42.86,1013.88,85.13
10.59,42.49,1009.59,77.36
16.36,43.99,1021.34,85.13
23.28,48.92,1010.23,41.55
31.82,71.29,1008.44,41.7
24.39,60.84,1018.5,61.73
9.28,41.38,1021.96,72.22
20.19,44.57,1009.2,72.13
19.8,67.71,1005.58,69.65
20.73,59.87,1019.08,80.48
28.45,52.84,1006.18,43.16
31.04,66.54,1003.83,53.05
10.09,41.01,1019.89,96.55
17.33,42.28,1007.97,50.33
12.14,44.85,1014.36,60.04
17.97,65.94,1012.92,88.22
21.12,49.15,1021.29,52.9
19.18,50.12,1005.99,100.09
23.79,58.2,1016.77,55.88
15.36,41.66,1012.41,62.32
18.56,42.18,1001.46,99.59
10.34,37.5,1010.35,95.56
13.8,44.34,1019.43,66.74
10.95,40.22,1010.04,78.96
26.45,75.6,1017.42,74.5
15.31,40.66,1016.46,84.64
11.83,45.09,1013.11,88.52
27.44,66.56,1005.51,69.28
27.15,59.21,1013.49,51.71
17.3,62.1,1020.28,88.06
25.33,73.21,1002.19,97.24
25.89,66.49,1013.08,63.16
21.99,51.19,1009.19,82.58
27.58,78.05,1010.83,94.98
13.45,45.87,1008.73,87.06
9.73,40.22,1011.48,87.88
11.8,40.66,1017.13,97.2
16.25,58.16,1018.34,78.59
24.65,71.98,1006.46,91.11
7.1,35.77,1015.39,92.1
23.13,71.25,1002.49,94.59
21.98,59.39,1015.25,84.52
14.98,43.99,1022.66,83.34
28.06,70.04,1009.89,66.07
19.68,44.34,1019.49,49.5
4.32,35.47,1017.8,88.51
10.39,40.22,1009.77,83.27
9.53,40.62,1015.57,75.49
21.04,50.32,1008.41,90.19
26.21,65.12,1016.06,44.31
22.99,62.96,1019.6,65.05
5.86,40.62,1017.03,85.06
25.59,61.5,1009.12,68.0
21.36,58.95,1018.35,78.87
24.43,67.25,1017.99,74.27
6.93,39.81,1017.25,87.29
18.36,51.43,1010.57,90.17
25.24,66.54,1002.07,81.22
26.56,56.57,1013.73,63.9
33.15,68.51,1012.9,51.91
14.33,45.51,1015.42,71.55
12.08,40.75,1015.84,86.9
14.47,42.99,1009.78,91.15
28.0,74.22,1008.68,66.0
16.21,41.23,995.88,80.0
31.14,67.32,1013.93,38.37
10.73,40.35,1012.27,89.65
10.31,45.01,1018.42,93.67
27.77,51.43,1006.58,69.01
16.84,45.01,1016.14,75.74
32.28,75.33,1002.14,62.49
18.0,52.08,1003.07,100.09
18.83,58.46,1016.85,87.16
8.44,41.17,1019.9,70.72
12.24,44.92,1023.74,88.21
14.64,39.58,1011.46,71.9
16.5,39.72,1003.05,65.99
12.89,36.71,1013.36,87.29
9.12,41.49,1020.58,96.23
25.12,77.95,1009.26,82.95
20.92,63.86,1020.49,72.98
27.52,66.48,1004.99,52.54
25.66,70.02,1010.89,68.14
19.68,51.19,1008.64,94.88
32.32,76.09,1006.63,62.96
19.58,52.9,1017.46,64.64
25.77,65.48,1018.07,51.47
10.42,39.96,1025.21,95.69
6.06,41.17,1019.67,84.7
5.42,41.38,1020.77,86.02
25.89,59.22,1013.4,80.17
26.47,69.51,1009.51,65.02
13.25,44.92,1024.11,89.34
29.7,67.17,1007.31,66.56
19.27,65.12,1015.63,73.48
16.98,53.16,1013.95,82.8
27.9,63.13,1011.8,70.04
22.76,44.05,1006.95,74.07
28.6,61.86,1011.86,62.13
30.47,70.02,1009.65,62.03
22.99,61.02,1009.88,81.56
26.27,71.98,1005.72,86.15
25.04,65.48,1017.66,57.08
12.36,37.73,1021.36,65.45
27.36,58.33,1013.86,56.7
26.11,73.17,1009.8,65.18
20.23,52.05,1012.15,47.49
22.06,47.43,1009.85,76.85
11.65,41.54,1020.09,67.96
21.06,67.07,1004.9,84.09
10.94,40.81,1026.03,80.79
22.02,46.93,1014.32,55.92
25.65,69.23,1012.55,62.02
24.03,58.46,1015.71,70.15
19.21,53.16,1013.18,81.64
8.96,40.05,1015.91,89.4
22.56,66.48,1003.82,77.46
9.87,42.74,1024.61,87.74
17.72,50.9,1012.02,85.55
24.9,67.25,1017.77,66.17
27.2,72.43,1006.75,80.67
29.82,69.75,1010.09,65.02
5.73,40.35,1012.24,91.84
24.4,67.45,1015.63,57.1
14.76,49.64,1026.31,75.67
29.08,67.07,1005.73,57.18
20.58,49.15,1021.42,56.15
28.25,66.54,1011.02,43.77
12.2,39.72,1018.07,54.83
18.65,52.08,1005.48,99.94
31.63,68.3,1014.8,42.02
23.19,60.75,1008.33,82.0
16.69,40.56,1019.92,51.43
15.34,40.73,1018.03,86.19
10.94,25.36,1009.47,100.1
26.31,48.6,1002.64,60.04
11.68,39.22,1017.9,57.95
25.76,65.48,1017.82,54.77
29.97,73.06,1009.41,78.26
28.05,62.6,1017.01,46.46
26.12,68.51,1013.06,68.96
26.91,61.5,1009.47,55.26
21.23,50.59,1017.42,69.26
29.56,70.4,1006.49,82.95
7.0,36.24,1013.15,89.64
23.07,69.23,1011.78,76.06
20.15,49.5,1013.47,66.7
24.48,66.25,1009.42,88.17
12.37,46.97,1013.95,90.76
22.86,62.52,1016.23,70.67
17.01,50.59,1015.8,80.95
22.32,70.47,1010.97,83.16
27.78,72.43,1006.72,74.53
12.93,36.71,1013.22,83.44
24.46,61.9,1013.88,87.16
11.98,44.6,1018.59,86.71
12.59,44.34,1017.01,85.57
24.77,48.92,1010.25,47.04
19.13,58.66,1013.32,74.86
13.41,40.89,1010.85,89.61
6.75,39.4,1011.28,90.84
14.79,46.48,1007.46,92.4
10.87,44.71,1021.38,58.22
11.44,44.2,1018.14,84.9
9.53,38.18,1018.43,75.33
28.83,66.44,1008.47,77.49
8.35,43.79,1016.2,85.23
12.33,39.85,1012.53,66.04
15.23,44.9,1007.75,81.34
31.71,69.04,1008.79,49.32
13.78,42.03,1017.51,84.94
29.28,65.71,1013.76,48.05
31.65,66.25,1008.57,59.05
12.83,41.67,1012.84,84.29
6.93,41.14,1027.18,84.67
29.77,69.98,1013.32,69.6
7.49,36.08,1020.27,85.69
12.28,41.49,1019.73,94.79
19.18,65.06,1015.99,77.06
13.24,40.83,1007.9,87.53
30.3,73.9,1006.72,55.13
11.87,40.67,1011.43,62.92
22.97,64.15,1021.0,70.61
35.03,68.27,1006.55,43.82
28.37,63.31,1013.18,49.02
13.92,41.16,1000.98,83.89
33.79,69.05,1001.62,40.13
28.88,54.89,1007.16,46.6
27.08,66.05,1017.33,54.68
7.08,39.99,1010.55,91.44
27.58,65.27,1013.51,50.43
15.69,37.64,1016.0,83.88
11.84,40.05,1014.54,86.78
31.97,79.74,1007.03,55.84
16.64,44.9,1021.02,70.34
31.59,58.9,1003.39,47.6
24.17,59.44,1012.66,78.53
23.72,66.48,1003.61,73.75
17.37,57.76,1016.0,86.59
29.79,77.17,1009.68,64.0
28.43,69.59,1008.79,73.33
29.42,79.74,1007.24,61.26
7.44,38.5,1012.81,70.27
21.23,61.5,1008.98,82.14
21.33,58.46,1016.17,79.73
13.06,44.2,1018.95,85.68
28.85,58.33,1013.78,41.39
20.51,63.86,1020.65,75.36
15.46,37.64,1014.57,87.53
24.44,73.5,1011.49,87.39
8.26,39.42,1025.89,70.53
23.5,54.42,1012.31,68.29
29.25,67.32,1013.88,38.57
23.48,66.49,1014.41,62.61
24.78,68.94,1007.29,70.56
26.9,77.95,1017.47,75.58
21.47,50.12,1009.19,93.68
20.68,68.61,1011.2,84.81
15.54,41.23,995.45,83.73
18.63,61.27,1019.69,73.67
29.87,73.91,1004.53,74.3
17.54,44.58,1016.56,79.0
5.53,35.79,1011.19,94.01
12.68,43.7,1016.07,86.89
11.7,41.16,1017.98,95.71
23.83,64.15,1020.93,63.86
21.59,66.54,1004.88,90.54
10.31,44.63,1020.55,88.62
14.54,42.99,1009.27,90.88
34.11,73.56,1006.77,45.92
18.8,44.71,1016.56,31.29
